Date,Portfolio,Actual_Returns,LSTM_Predicted_Returns,Historical_VaR,Historical_ES,LSTM_VaR,LSTM_ES,MonteCarlo_VaR,MonteCarlo_ES,Historical_VaR_Breach,LSTM_VaR_Breach,MonteCarlo_VaR_Breach,Historical_ES_Breach,LSTM_ES_Breach,MonteCarlo_ES_Breach
2024-06-27 00:00:00,S&P 500 (Market-Cap-Weight),0.0009336236867610215,-0.003913940859291207,-0.018822815891784698,-0.02789460621936619,-0.016382469548366585,-0.019218758701094015,-0.011267613498260885,-0.014608325933256484,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-28 00:00:00,S&P 500 (Market-Cap-Weight),-0.003947295575647294,-0.0039628346991129205,-0.018822815891784698,-0.02789460621936619,-0.015054859246777123,-0.018689293146862348,-0.010517142790262479,-0.013438255976764475,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-01 00:00:00,S&P 500 (Market-Cap-Weight),0.0037003688177579875,-0.00429382182696407,-0.01877572578068897,-0.027722035459769655,-0.01604271464699091,-0.019576867843451456,-0.011296202186380609,-0.014046115705528044,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-02 00:00:00,S&P 500 (Market-Cap-Weight),0.007521312992011339,-0.00389482067099882,-0.01877572578068897,-0.027722035459769655,-0.015386526456450923,-0.018364761917531537,-0.011211540919441595,-0.014573463730238115,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-03 00:00:00,S&P 500 (Market-Cap-Weight),0.005826642854623431,-0.003856499515019371,-0.01877572578068897,-0.027722035459769655,-0.01518272127657601,-0.017743632330578664,-0.010920551136758225,-0.013667189956266082,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-05 00:00:00,S&P 500 (Market-Cap-Weight),0.004911461698197583,-0.0040356827628342225,-0.01877572578068897,-0.027722035459769655,-0.015075278764401016,-0.017977720502974744,-0.011254329822856537,-0.01444446325502128,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-08 00:00:00,S&P 500 (Market-Cap-Weight),0.0012875063975843408,-0.0036403440181411056,-0.01877572578068897,-0.027722035459769655,-0.014500664828772882,-0.0172850805361877,-0.011753353365025719,-0.015353863128441751,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-09 00:00:00,S&P 500 (Market-Cap-Weight),0.0014101582479075605,-0.003857307732999855,-0.01877572578068897,-0.027722035459769655,-0.014562984196533575,-0.01766375410212155,-0.011269192863593833,-0.014700836876747798,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-10 00:00:00,S&P 500 (Market-Cap-Weight),0.010376792579506793,-0.0041045414858811875,-0.01877572578068897,-0.027722035459769655,-0.01522819345261046,-0.017987391753974777,-0.011619555062058636,-0.014719274223105736,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-11 00:00:00,S&P 500 (Market-Cap-Weight),-0.009934853192389277,-0.0036662937744649754,-0.01877572578068897,-0.027722035459769655,-0.014678171041727304,-0.016771982295649423,-0.011565131021272091,-0.01396687786922016,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-12 00:00:00,S&P 500 (Market-Cap-Weight),0.0058490508077576955,-0.00500743975082211,-0.01877572578068897,-0.027722035459769655,-0.01816273379809466,-0.020635670708691496,-0.011369341096169503,-0.014495014924468124,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-15 00:00:00,S&P 500 (Market-Cap-Weight),0.003318363975322226,-0.004214003199526871,-0.01877572578068897,-0.027722035459769655,-0.016182381243734386,-0.01843734876708757,-0.011872834368576503,-0.015235797957739636,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-16 00:00:00,S&P 500 (Market-Cap-Weight),0.005879900281690604,-0.004030713148605825,-0.01877572578068897,-0.027722035459769655,-0.015891037020000272,-0.018946573594519463,-0.011079152318154832,-0.014460648902739239,0.0,0.0,0.0,0.0,0.0,0.0
