Portfolio: PCA Portfolio 4

Portfolio Statistics:
Annual_Return                 0.163399
Annual_Volatility             0.108206
Sharpe_Ratio                  1.510075
Historical_VaR_Breach_Rate    0.793651
LSTM_VaR_Breach_Rate          4.761905
MonteCarlo_VaR_Breach_Rate    2.380952
Skewness                     -0.109665
Excess_Kurtosis               0.431822
Max_Drawdown                 -0.022813
VaR_95_Historical            -0.009798

Risk Metrics Summary:
Historical_VaR_Breach_Rate              0.793651
LSTM_VaR_Breach_Rate                    4.761905
MonteCarlo_VaR_Breach_Rate              2.380952
Avg_Historical_VaR                     -0.015960
Avg_Historical_ES                      -0.022658
Avg_LSTM_VaR                           -0.012309
Avg_LSTM_ES                            -0.015619
Avg_MonteCarlo_VaR                     -0.011284
Avg_MonteCarlo_ES                      -0.014301
LSTM_Prediction_MAE                     0.005986
LSTM_Prediction_MSE                     0.000063
LSTM_Prediction_Std                     0.002896
Actual_Returns_Std                      0.006816
LSTM_VaR_Coverage_Ratio                 0.952381
MonteCarlo_VaR_Coverage_Ratio           0.476190
Historical_VaR_Coverage_Ratio           0.158730
LSTM_ES_vs_Historical_ES_Ratio          0.689345
MonteCarlo_ES_vs_Historical_ES_Ratio    0.631171

Portfolio Composition:
       Stock    Weight  Risk_Contribution  Expected_Shortfall_Contribution  Weight_Percentage
SBUX    SBUX  0.002283       3.949045e-05                    -9.803984e-05           0.228324
EG        EG  0.002255       3.457383e-05                    -9.843789e-05           0.225464
KO        KO  0.002250       2.422008e-05                    -9.772763e-05           0.225048
INCY    INCY  0.002243       5.842689e-05                    -1.000597e-04           0.224282
BRO      BRO  0.002240       3.070084e-05                    -9.622009e-05           0.224044
UPS      UPS  0.002231       3.269931e-05                    -9.507377e-05           0.223131
SBAC    SBAC  0.002228       3.559521e-05                    -9.091363e-05           0.222775
ORCL    ORCL  0.002227       3.749715e-05                    -9.715237e-05           0.222672
CNC      CNC  0.002215       5.035912e-05                    -1.043172e-04           0.221504
LUV      LUV  0.002215       4.651219e-05                    -9.606348e-05           0.221492
VTRS    VTRS  0.002203       4.856180e-05                    -9.896794e-05           0.220311
KLAC    KLAC  0.002202       4.987068e-05                    -9.929577e-05           0.220245
AMP      AMP  0.002201       4.546651e-05                    -9.889960e-05           0.220130
COST    COST  0.002195       2.797383e-05                    -9.676488e-05           0.219511
AON      AON  0.002188       3.023365e-05                    -9.211624e-05           0.218824
BEN      BEN  0.002177       4.223950e-05                    -9.219388e-05           0.217739
AWK      AWK  0.002153       2.897659e-05                    -8.800739e-05           0.215259
WFC      WFC  0.002126       4.013374e-05                    -9.341640e-05           0.212648
WDC      WDC  0.002124       5.732834e-05                    -9.931584e-05           0.212395
CDNS    CDNS  0.002123       4.069247e-05                    -9.010801e-05           0.212342
DVA      DVA  0.002100       3.875474e-05                    -9.919859e-05           0.209958
HSIC    HSIC  0.002098       3.204090e-05                    -9.102504e-05           0.209769
AME      AME  0.002089       3.218602e-05                    -8.824452e-05           0.208869
SLB      SLB  0.002083       4.794797e-05                    -9.304872e-05           0.208313
LNT      LNT  0.002077       2.618090e-05                    -8.329447e-05           0.207729
ADI      ADI  0.002072       3.808199e-05                    -8.428517e-05           0.207181
INTU    INTU  0.002064       3.768715e-05                    -8.837779e-05           0.206406
TJX      TJX  0.002057       3.232120e-05                    -8.578351e-05           0.205705
LIN      LIN  0.002054       2.761664e-05                    -7.854186e-05           0.205368
DUK      DUK  0.002049       2.406381e-05                    -8.523543e-05           0.204932
LDOS    LDOS  0.002025       3.475915e-05                    -1.018639e-04           0.202513
CMS      CMS  0.002020       2.506346e-05                    -8.495415e-05           0.202031
ADSK    ADSK  0.001980       4.489194e-05                    -8.888576e-05           0.197993
EVRG    EVRG  0.001978       2.619826e-05                    -8.812976e-05           0.197755
