Portfolio: S&P 500 (Market-Cap-Weight)

Portfolio Statistics:
Annual_Return                  0.189804
Annual_Volatility              0.191527
Sharpe_Ratio                   0.991003
Historical_VaR_Breach_Rate     4.201681
LSTM_VaR_Breach_Rate           1.680672
Skewness                      -0.689549
Excess_Kurtosis               11.306520
Max_Drawdown                  -0.137878
VaR_95_Historical             -0.018553

Risk Metrics Summary:
Historical_VaR_Breach_Rate        4.201681
LSTM_VaR_Breach_Rate              1.680672
Avg_Historical_VaR               -0.015041
Avg_Historical_ES                -0.019819
Avg_LSTM_VaR                     -0.018708
Avg_LSTM_ES                      -0.023115
LSTM_Prediction_MAE               0.008614
LSTM_Prediction_MSE               0.000127
LSTM_Prediction_Std               0.007540
Actual_Returns_Std                0.008427
LSTM_VaR_Coverage_Ratio           0.336134
Historical_VaR_Coverage_Ratio     0.840336
LSTM_ES_vs_Historical_ES_Ratio    1.166307

Portfolio Composition:
       Stock    Weight  Risk_Contribution  Expected_Shortfall_Contribution  Weight_Percentage
OMC      OMC  0.000406           0.000006                        -0.000017           0.040648
CTRA    CTRA  0.000405           0.000010                        -0.000017           0.040532
SNA      SNA  0.000403           0.000007                        -0.000017           0.040329
NRG      NRG  0.000402           0.000009                        -0.000019           0.040170
ARE      ARE  0.000397           0.000006                        -0.000016           0.039690
JBHT    JBHT  0.000396           0.000007                        -0.000016           0.039550
FDS      FDS  0.000395           0.000006                        -0.000018           0.039543
HOLX    HOLX  0.000393           0.000007                        -0.000017           0.039271
PODD    PODD  0.000392           0.000010                        -0.000018           0.039249
GEN      GEN  0.000392           0.000008                        -0.000018           0.039208
BALL    BALL  0.000391           0.000006                        -0.000016           0.039107
L          L  0.000390           0.000006                        -0.000017           0.038980
DGX      DGX  0.000385           0.000006                        -0.000017           0.038520
PNR      PNR  0.000376           0.000007                        -0.000015           0.037646
VRSN    VRSN  0.000374           0.000006                        -0.000017           0.037391
IEX      IEX  0.000371           0.000006                        -0.000015           0.037110
TRMB    TRMB  0.000371           0.000008                        -0.000016           0.037097
ULTA    ULTA  0.000370           0.000009                        -0.000017           0.037009
NI        NI  0.000367           0.000005                        -0.000016           0.036719
GPC      GPC  0.000367           0.000006                        -0.000016           0.036673
MAS      MAS  0.000364           0.000007                        -0.000016           0.036394
MOH      MOH  0.000362           0.000009                        -0.000017           0.036216
EXPD    EXPD  0.000362           0.000006                        -0.000015           0.036180
KIM      KIM  0.000361           0.000007                        -0.000016           0.036090
TER      TER  0.000359           0.000009                        -0.000016           0.035936
ALGN    ALGN  0.000359           0.000010                        -0.000018           0.035921
DG        DG  0.000359           0.000007                        -0.000017           0.035895
UDR      UDR  0.000358           0.000006                        -0.000015           0.035806
BAX      BAX  0.000351           0.000005                        -0.000016           0.035102
MRO      MRO  0.000344           0.000010                        -0.000017           0.034403
EG        EG  0.000343           0.000005                        -0.000015           0.034329
AVY      AVY  0.000342           0.000006                        -0.000015           0.034174
TXT      TXT  0.000339           0.000007                        -0.000016           0.033883
LNT      LNT  0.000337           0.000004                        -0.000013           0.033659
VTRS    VTRS  0.000329           0.000007                        -0.000015           0.032941
CF        CF  0.000326           0.000008                        -0.000014           0.032593
DPZ      DPZ  0.000320           0.000006                        -0.000014           0.031973
EVRG    EVRG  0.000315           0.000004                        -0.000014           0.031542
INCY    INCY  0.000314           0.000008                        -0.000014           0.031441
NDSN    NDSN  0.000313           0.000006                        -0.000014           0.031338
JBL      JBL  0.000311           0.000007                        -0.000015           0.031133
BXP      BXP  0.000298           0.000005                        -0.000012           0.029794
FFIV    FFIV  0.000298           0.000006                        -0.000014           0.029786
DLTR    DLTR  0.000297           0.000006                        -0.000015           0.029690
POOL    POOL  0.000294           0.000005                        -0.000013           0.029422
REG      REG  0.000289           0.000005                        -0.000013           0.028933
SWKS    SWKS  0.000288           0.000007                        -0.000013           0.028753
TPR      TPR  0.000287           0.000007                        -0.000014           0.028688
RVTY    RVTY  0.000287           0.000005                        -0.000012           0.028671
SWK      SWK  0.000283           0.000006                        -0.000013           0.028337
DVA      DVA  0.000283           0.000005                        -0.000013           0.028289
AKAM    AKAM  0.000283           0.000006                        -0.000014           0.028253
CHRW    CHRW  0.000280           0.000004                        -0.000013           0.028018
TAP      TAP  0.000276           0.000005                        -0.000012           0.027648
CPB      CPB  0.000276           0.000004                        -0.000013           0.027624
CPT      CPT  0.000275           0.000004                        -0.000011           0.027485
CAG      CAG  0.000274           0.000004                        -0.000012           0.027411
BG        BG  0.000272           0.000005                        -0.000013           0.027211
JKHY    JKHY  0.000272           0.000004                        -0.000012           0.027184
HST      HST  0.000263           0.000005                        -0.000011           0.026306
ALB      ALB  0.000262           0.000007                        -0.000013           0.026176
KMX      KMX  0.000260           0.000006                        -0.000012           0.026004
JNPR    JNPR  0.000260           0.000005                        -0.000012           0.026002
EMN      EMN  0.000253           0.000005                        -0.000011           0.025335
SJM      SJM  0.000245           0.000003                        -0.000011           0.024473
BEN      BEN  0.000244           0.000005                        -0.000010           0.024410
AIZ      AIZ  0.000241           0.000004                        -0.000011           0.024141
MGM      MGM  0.000239           0.000007                        -0.000012           0.023876
SMCI    SMCI  0.000234           0.000009                        -0.000013           0.023403
GNRC    GNRC  0.000233           0.000006                        -0.000011           0.023270
TECH    TECH  0.000231           0.000004                        -0.000009           0.023095
AOS      AOS  0.000225           0.000004                        -0.000009           0.022528
PNW      PNW  0.000225           0.000003                        -0.000009           0.022472
IPG      IPG  0.000217           0.000004                        -0.000010           0.021707
WYNN    WYNN  0.000214           0.000006                        -0.000010           0.021435
AES      AES  0.000214           0.000004                        -0.000009           0.021367
LKQ      LKQ  0.000214           0.000004                        -0.000010           0.021361
MKTX    MKTX  0.000212           0.000004                        -0.000010           0.021221
FRT      FRT  0.000209           0.000003                        -0.000009           0.020904
CRL      CRL  0.000207           0.000004                        -0.000009           0.020651
GL        GL  0.000197           0.000004                        -0.000009           0.019718
TFX      TFX  0.000192           0.000003                        -0.000008           0.019196
MHK      MHK  0.000191           0.000005                        -0.000009           0.019054
HAS      HAS  0.000187           0.000004                        -0.000009           0.018668
HSIC    HSIC  0.000184           0.000003                        -0.000008           0.018441
CE        CE  0.000173           0.000004                        -0.000008           0.017348
