Portfolio: PCA Portfolio 3

Portfolio Statistics:
Annual_Return                                                          0.126868
Annual_Volatility                                                      0.182804
Sharpe_Ratio                                                           0.694012
Historical_VaR_Breach_Rate                                             4.481793
LSTM_VaR_Breach_Rate                                                   1.120448
Skewness                                                              -0.938706
Excess_Kurtosis                                                       15.996688
Max_Drawdown                                                          -0.145093
VaR_95_Historical                                                     -0.017468
Annual_Turnover               [0.014278014439476358, 0.016909961005680457, 0...
Mean_Explained_Variance                                                0.034447
Weight_Stability                                                            NaN
Max_Single_Stock_Exposure                                                   NaN

Risk Metrics Summary:
Historical_VaR_Breach_Rate        4.481793
LSTM_VaR_Breach_Rate              1.120448
Avg_Historical_VaR               -0.012110
Avg_Historical_ES                -0.014409
Avg_LSTM_VaR                     -0.016671
Avg_LSTM_ES                      -0.020120
LSTM_Prediction_MAE               0.006667
LSTM_Prediction_MSE               0.000067
LSTM_Prediction_Std               0.002407
Actual_Returns_Std                0.007171
LSTM_VaR_Coverage_Ratio           0.224090
Historical_VaR_Coverage_Ratio     0.896359
LSTM_ES_vs_Historical_ES_Ratio    1.396388

Portfolio Composition:
       Stock        Weight  Risk_Contribution  Expected_Shortfall_Contribution  Weight_Percentage
LMT      LMT  2.246395e-03       2.960020e-05                    -9.499805e-05           0.224640
NTAP    NTAP  2.242776e-03       4.746494e-05                    -9.897489e-05           0.224278
AMZN    AMZN  2.236406e-03       4.603001e-05                    -9.879859e-05           0.223641
VRSK    VRSK  2.232571e-03       3.089621e-05                    -9.732105e-05           0.223257
CHD      CHD  2.231037e-03       2.788769e-05                    -9.892632e-05           0.223104
UHS      UHS  2.190923e-03       4.516265e-05                    -1.021248e-04           0.219092
JKHY    JKHY  2.182786e-03       3.017157e-05                    -9.646438e-05           0.218279
REG      REG  2.156870e-03       3.814866e-05                    -9.357966e-05           0.215687
IT        IT  2.152511e-03       3.791249e-05                    -9.613469e-05           0.215251
CMG      CMG  2.135182e-03       4.617713e-05                    -9.979852e-05           0.213518
EL        EL  2.111911e-03       4.076805e-05                    -9.387124e-05           0.211191
UNH      UNH  2.095261e-03       3.344325e-05                    -8.670969e-05           0.209526
CBRE    CBRE  2.058660e-03       4.449330e-05                    -9.287373e-05           0.205866
PM        PM  2.046358e-03       2.773120e-05                    -9.235525e-05           0.204636
SBUX    SBUX  2.043783e-03       3.534879e-05                    -8.775766e-05           0.204378
EMN      EMN  2.030519e-03       3.846327e-05                    -8.551447e-05           0.203052
JNJ      JNJ  2.022491e-03       2.125722e-05                    -8.201948e-05           0.202249
TAP      TAP  1.966405e-03       3.259012e-05                    -8.377889e-05           0.196640
UAL      UAL  1.948782e-03       5.963729e-05                    -9.506359e-05           0.194878
IEX      IEX  1.933469e-03       2.870662e-05                    -8.046030e-05           0.193347
BLDR    BLDR  1.928503e-03       6.598325e-05                    -9.725596e-05           0.192850
ODFL    ODFL  1.927551e-03       3.729133e-05                    -8.188009e-05           0.192755
