,Component_1,Component_2,Component_3,Component_4,Component_5
2015-11-03,0.39716269433708423,0.05615401065364567,0.035384791541560955,0.02107091600886495,0.015681601979748664
2015-11-04,0.39619390801215515,0.05604476498461436,0.03550218534388466,0.021062977394494944,0.015652678840084124
2015-11-05,0.39655569469663554,0.056043557329176576,0.03516182666875934,0.02080849402576428,0.015648252050380614
2015-11-06,0.3960296056910697,0.056283531536877505,0.034705037026117096,0.020948048657925704,0.015625015343980996
2015-11-09,0.39408891238505284,0.05900021842357689,0.035125137760145336,0.020818204077518065,0.0154899478758766
2015-11-10,0.3952321847995396,0.058912330261086,0.03475292915758448,0.020762697563323308,0.015499586146195612
2015-11-11,0.3948366982180745,0.05909234252942647,0.034646017274943194,0.02076326677175888,0.015615215905269195
2015-11-12,0.39435280920008514,0.05922805772040354,0.03449810469532579,0.020866758911095726,0.015726668413110455
2015-11-13,0.39651711430302883,0.05891766368140859,0.034243487330806684,0.020756755495521226,0.015678589892822663
2015-11-16,0.39661814336576917,0.05893649085427698,0.034356382762047055,0.02083739407887886,0.01569959562387433
2015-11-17,0.3986472215381364,0.05839783852200419,0.03420835383297638,0.020765009061417417,0.015594540978276547
2015-11-18,0.3983312162690428,0.058034805703618735,0.03470260720683973,0.020758639228630717,0.015602774780640509
2015-11-19,0.3999711683918922,0.05782752476294109,0.0346117012289702,0.02052680881498002,0.01553855545105827
2015-11-20,0.39927485696337417,0.05786206418715475,0.034617945946580714,0.020848871328176897,0.015741216666508337
2015-11-23,0.39844301677723665,0.05778798238684303,0.034648882010130735,0.020798816594597244,0.015732844880812467
2015-11-24,0.39789779432780226,0.05776269271622203,0.03455253400200105,0.02078815984095437,0.015760717997711
2015-11-25,0.39742212467607807,0.057874558792320646,0.034423325121023265,0.02085704196906456,0.015733011702266386
2015-11-27,0.3974520976899482,0.057847850092492825,0.03453242860134477,0.020864401748417215,0.015711032615776232
2015-11-30,0.3976540831376405,0.057799527845339385,0.03452219145757503,0.020868538854848923,0.015704620848943376
2015-12-01,0.39911596159854473,0.05702761216100113,0.033807851610099054,0.02073466351555044,0.015218266766913716
2015-12-02,0.3993286011880516,0.05695251926268364,0.033837588871926186,0.02074065904016016,0.015238121683161774
2015-12-03,0.40032944760128053,0.056720797073670726,0.03408727998460824,0.020729407792595193,0.015236784863538577
2015-12-04,0.401991961138932,0.05618072331027714,0.03402400613131829,0.020657929393218345,0.015180095953068181
2015-12-07,0.4046020947628058,0.05591914791169958,0.03420032404200261,0.020683503374706237,0.015105650943355788
2015-12-08,0.4046866378536799,0.05599893428565074,0.033952524298200906,0.020704006756266095,0.015171280266498116
2015-12-09,0.4050600607462516,0.05548958092532807,0.033769305928193244,0.02055271706893852,0.015165724897467954
2015-12-10,0.4053742550957971,0.05537623933033739,0.03441124420082882,0.02055909354122297,0.015170252484064957
2015-12-11,0.40263966606626755,0.05570908466157078,0.03460579426968004,0.020574253243087395,0.015223526047966934
2015-12-14,0.4039869730847244,0.056259763807243124,0.03435821627299486,0.02041718407225017,0.015097367996606862
2015-12-15,0.40166265373041776,0.056556720455525664,0.034458647737909166,0.020504536938614176,0.01512866234804294
2015-12-16,0.40142040729805234,0.0564300765623615,0.034368116252894904,0.020378653926625356,0.015111432976890724
2015-12-17,0.40273971565099403,0.05634915494058015,0.033982811158974786,0.0203315798066037,0.015104734741965675
2015-12-18,0.40067059306170555,0.057098669850123136,0.034131842881566565,0.020370636328891054,0.015050211878405263
2015-12-21,0.39824651390824894,0.05721680605407415,0.03418573147831585,0.020665224741373875,0.015045555624041697
2015-12-22,0.39921690916465863,0.05714824441503762,0.03396337261129575,0.020550364226263856,0.014997824186314792
